build_id,image_name,implementation,width,height,bit_depth,is_grayscale,histogram_us,scan_us,norm_scale_us,h2d_us,h2d_bytes,d2h_us,d2h_bytes
1776697851,test_16b.png,naive.cl,1024,683,16,true,40,2241,10251,114,1398784,108,1398784
1776697851,test_16b.png,optimized.cl,1024,683,16,true,1220,2241,4,112,1398784,108,1398784
1776697851,moon_16bit.png,naive.cl,560,420,16,false,16,2241,13340,113,1411200,109,1411200
1776697851,moon_16bit.png,optimized.cl,560,420,16,false,463,2242,4,114,1411200,109,1411200
1776697851,wires_16b.png,naive.cl,326,326,16,false,17,2243,13364,51,637656,49,637656
1776697851,wires_16b.png,optimized.cl,326,326,16,false,263,2241,4,51,637656,49,637656
1776697851,color_gradient_16bit.png,naive.cl,512,512,16,false,21,2242,12368,125,1572864,121,1572864
1776697851,color_gradient_16bit.png,optimized.cl,512,512,16,false,455,2241,4,123,1572864,122,1572864
1776697851,building_16b.png,naive.cl,720,680,16,false,35,2241,13487,232,2937600,503,2937600
1776697851,building_16b.png,optimized.cl,720,680,16,false,828,2241,4,235,2937600,345,2937600
1776697851,paint_16b.png,naive.cl,500,375,16,false,11,2241,12809,90,1125000,88,1125000
1776697851,paint_16b.png,optimized.cl,500,375,16,false,404,2241,4,92,1125000,89,1125000
1776697851,cars_16b.png,naive.cl,370,415,16,false,10,2241,13035,74,921300,70,921300
1776697851,cars_16b.png,optimized.cl,370,415,16,false,310,2241,4,75,921300,70,921300
1776697851,lamp_16b.png,naive.cl,450,500,16,false,57,2241,13577,117,1350000,108,1350000
1776697851,lamp_16b.png,optimized.cl,450,500,16,false,467,2241,4,110,1350000,105,1350000
1776697851,land_16b.png,naive.cl,1039,789,16,false,58,2241,13597,395,4918626,609,4918626
1776697851,land_16b.png,optimized.cl,1039,789,16,false,1335,2242,4,426,4918626,583,4918626
1776697851,robot_16b.png,naive.cl,450,450,16,false,27,2242,13368,96,1215000,94,1215000
1776697851,robot_16b.png,optimized.cl,450,450,16,false,400,2249,4,98,1215000,94,1215000
1776697853,test_16b.png,naive.cl,1024,683,16,true,40,2241,10251,113,1398784,108,1398784
1776697853,test_16b.png,optimized.cl,1024,683,16,true,1219,2241,4,114,1398784,109,1398784
1776697853,moon_16bit.png,naive.cl,560,420,16,false,17,2242,13341,114,1411200,109,1411200
1776697853,moon_16bit.png,optimized.cl,560,420,16,false,462,2241,4,116,1411200,109,1411200
1776697853,wires_16b.png,naive.cl,326,326,16,false,11,2241,13364,51,637656,49,637656
1776697853,wires_16b.png,optimized.cl,326,326,16,false,264,2242,13,53,637656,49,637656
1776697853,color_gradient_16bit.png,naive.cl,512,512,16,false,20,2241,12368,126,1572864,122,1572864
1776697853,color_gradient_16bit.png,optimized.cl,512,512,16,false,452,2242,4,126,1572864,122,1572864
1776697853,building_16b.png,naive.cl,720,680,16,false,35,2241,13487,230,2937600,308,2937600
1776697853,building_16b.png,optimized.cl,720,680,16,false,837,2241,4,232,2937600,483,2937600
1776697853,paint_16b.png,naive.cl,500,375,16,false,11,2241,12809,90,1125000,88,1125000
1776697853,paint_16b.png,optimized.cl,500,375,16,false,403,2241,4,90,1125000,88,1125000
1776697853,cars_16b.png,naive.cl,370,415,16,false,10,2240,13035,74,921300,95,921300
1776697853,cars_16b.png,optimized.cl,370,415,16,false,313,2241,4,75,921300,70,921300
1776697853,lamp_16b.png,naive.cl,450,500,16,false,57,2241,13578,107,1350000,105,1350000
1776697853,lamp_16b.png,optimized.cl,450,500,16,false,468,2241,4,112,1350000,105,1350000
1776697853,land_16b.png,naive.cl,1039,789,16,false,58,2241,13596,407,4918626,745,4918626
1776697853,land_16b.png,optimized.cl,1039,789,16,false,1334,2241,4,425,4918626,658,4918626
1776697853,robot_16b.png,naive.cl,450,450,16,false,27,2241,13368,96,1215000,95,1215000
1776697853,robot_16b.png,optimized.cl,450,450,16,false,390,2241,4,99,1215000,94,1215000
1776697855,test_16b.png,naive.cl,1024,683,16,true,40,2240,10254,113,1398784,138,1398784
1776697855,test_16b.png,optimized.cl,1024,683,16,true,1228,2240,4,114,1398784,108,1398784
1776697855,moon_16bit.png,naive.cl,560,420,16,false,16,2241,13340,111,1411200,109,1411200
1776697855,moon_16bit.png,optimized.cl,560,420,16,false,464,2241,4,113,1411200,109,1411200
1776697855,wires_16b.png,naive.cl,326,326,16,false,10,2241,13364,51,637656,49,637656
1776697855,wires_16b.png,optimized.cl,326,326,16,false,264,2241,4,53,637656,49,637656
1776697855,color_gradient_16bit.png,naive.cl,512,512,16,false,19,2241,12368,124,1572864,147,1572864
1776697855,color_gradient_16bit.png,optimized.cl,512,512,16,false,448,2241,3,125,1572864,124,1572864
1776697855,building_16b.png,naive.cl,720,680,16,false,36,2241,13486,235,2937600,346,2937600
1776697855,building_16b.png,optimized.cl,720,680,16,false,826,2241,4,233,2937600,363,2937600
1776697855,paint_16b.png,naive.cl,500,375,16,false,11,2241,12809,90,1125000,88,1125000
1776697855,paint_16b.png,optimized.cl,500,375,16,false,401,2241,4,91,1125000,88,1125000
1776697855,cars_16b.png,naive.cl,370,415,16,false,10,2241,13035,75,921300,70,921300
